Neighborhood,Latitude,Longitude
Parkwoods,60.108670000000075,-113.64257999999995
Victoria Village,60.108670000000075,-113.64257999999995
"Regent Park, Harbourfront",60.108670000000075,-113.64257999999995
"Lawrence Manor, Lawrence Heights",60.108670000000075,-113.64257999999995
Ontario Provincial Government,60.108670000000075,-113.64257999999995
Islington Avenue,60.108670000000075,-113.64257999999995
"Malvern, Rouge",60.108670000000075,-113.64257999999995
Don Mills North,60.108670000000075,-113.64257999999995
"Parkview Hill, Woodbine Gardens",60.108670000000075,-113.64257999999995
"Garden District, Ryerson",60.108670000000075,-113.64257999999995
Glencairn,60.108670000000075,-113.64257999999995
"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",60.108670000000075,-113.64257999999995
"Rouge Hill, Port Union, Highland Creek",60.108670000000075,-113.64257999999995
Don Mills South,60.108670000000075,-113.64257999999995
Woodbine Heights,60.108670000000075,-113.64257999999995
St. James Town,60.108670000000075,-113.64257999999995
Humewood-Cedarvale,60.108670000000075,-113.64257999999995
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",60.108670000000075,-113.64257999999995
"Guildwood, Morningside, West Hill",60.108670000000075,-113.64257999999995
The Beaches,60.108670000000075,-113.64257999999995
Berczy Park,60.108670000000075,-113.64257999999995
Caledonia-Fairbanks,60.108670000000075,-113.64257999999995
Woburn,60.108670000000075,-113.64257999999995
Leaside,60.108670000000075,-113.64257999999995
Central Bay Street,60.108670000000075,-113.64257999999995
Christie,60.108670000000075,-113.64257999999995
Cedarbrae,60.108670000000075,-113.64257999999995
Hillcrest Village,60.108670000000075,-113.64257999999995
"Bathurst Manor, Wilson Heights, Downsview North",60.108670000000075,-113.64257999999995
Thorncliffe Park,60.108670000000075,-113.64257999999995
"Richmond, Adelaide, King",60.108670000000075,-113.64257999999995
"Dufferin, Dovercourt Village",60.108670000000075,-113.64257999999995
Scarborough Village,60.108670000000075,-113.64257999999995
"Fairview, Henry Farm, Oriole",60.108670000000075,-113.64257999999995
"Northwood Park, York University",60.108670000000075,-113.64257999999995
The Danforth  East,60.108670000000075,-113.64257999999995
"Harbourfront East, Union Station, Toronto Islands",60.108670000000075,-113.64257999999995
"Little Portugal, Trinity",60.108670000000075,-113.64257999999995
"Kennedy Park, Ionview, East Birchmount Park",60.108670000000075,-113.64257999999995
Bayview Village,60.108670000000075,-113.64257999999995
Downsview East,60.108670000000075,-113.64257999999995
"The Danforth West, Riverdale",60.108670000000075,-113.64257999999995
"Toronto Dominion Centre, Design Exchange",60.108670000000075,-113.64257999999995
"Brockton, Parkdale Village, Exhibition Place",60.108670000000075,-113.64257999999995
"Golden Mile, Clairlea, Oakridge",60.108670000000075,-113.64257999999995
"York Mills, Silver Hills",60.108670000000075,-113.64257999999995
Downsview West,60.108670000000075,-113.64257999999995
"India Bazaar, The Beaches West",60.108670000000075,-113.64257999999995
"Commerce Court, Victoria Hotel",60.108670000000075,-113.64257999999995
"North Park, Maple Leaf Park, Upwood Park",60.108670000000075,-113.64257999999995
Humber Summit,60.108670000000075,-113.64257999999995
"Cliffside, Cliffcrest, Scarborough Village West",60.108670000000075,-113.64257999999995
"Willowdale, Newtonbrook",60.108670000000075,-113.64257999999995
Downsview Central,60.108670000000075,-113.64257999999995
Studio District,60.108670000000075,-113.64257999999995
"Bedford Park, Lawrence Manor East",60.108670000000075,-113.64257999999995
"Del Ray, Mount Dennis, Keelsdale and Silverthorn",60.108670000000075,-113.64257999999995
"Humberlea, Emery",60.108670000000075,-113.64257999999995
"Birch Cliff, Cliffside West",60.108670000000075,-113.64257999999995
Willowdale South,60.108670000000075,-113.64257999999995
Downsview Northwest,60.108670000000075,-113.64257999999995
Lawrence Park,60.108670000000075,-113.64257999999995
Roselawn,60.108670000000075,-113.64257999999995
"Runnymede, The Junction North",60.108670000000075,-113.64257999999995
Weston,60.108670000000075,-113.64257999999995
"Dorset Park, Wexford Heights, Scarborough Town Centre",60.108670000000075,-113.64257999999995
York Mills West,60.108670000000075,-113.64257999999995
Davisville North,60.108670000000075,-113.64257999999995
Forest Hill North & West,60.108670000000075,-113.64257999999995
"High Park, The Junction South",60.108670000000075,-113.64257999999995
Westmount,60.108670000000075,-113.64257999999995
"Wexford, Maryvale",60.108670000000075,-113.64257999999995
Willowdale West,60.108670000000075,-113.64257999999995
North Toronto West,60.108670000000075,-113.64257999999995
"The Annex, North Midtown, Yorkville",60.108670000000075,-113.64257999999995
"Parkdale, Roncesvalles",60.108670000000075,-113.64257999999995
Enclave of L4W,60.108670000000075,-113.64257999999995
"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",60.108670000000075,-113.64257999999995
Agincourt,60.108670000000075,-113.64257999999995
Davisville,60.108670000000075,-113.64257999999995
"University of Toronto, Harbord",60.108670000000075,-113.64257999999995
"Runnymede, Swansea",60.108670000000075,-113.64257999999995
"Clarks Corners, Tam O'Shanter, Sullivan",60.108670000000075,-113.64257999999995
"Moore Park, Summerhill East",60.108670000000075,-113.64257999999995
"Kensington Market, Chinatown, Grange Park",60.108670000000075,-113.64257999999995
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",60.108670000000075,-113.64257999999995
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",60.108670000000075,-113.64257999999995
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",60.108670000000075,-113.64257999999995
"New Toronto, Mimico South, Humber Bay Shores",60.108670000000075,-113.64257999999995
"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",60.108670000000075,-113.64257999999995
"Steeles West, L'Amoreaux West",60.108670000000075,-113.64257999999995
Rosedale,60.108670000000075,-113.64257999999995
Enclave of M5E,60.108670000000075,-113.64257999999995
"Alderwood, Long Branch",60.108670000000075,-113.64257999999995
"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",60.108670000000075,-113.64257999999995
Upper Rouge,60.108670000000075,-113.64257999999995
"St. James Town, Cabbagetown",60.108670000000075,-113.64257999999995
"First Canadian Place, Underground city",60.108670000000075,-113.64257999999995
"The Kingsway, Montgomery Road, Old Mill North",60.108670000000075,-113.64257999999995
Church and Wellesley,60.108670000000075,-113.64257999999995
Enclave of M4L,60.108670000000075,-113.64257999999995
"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",60.108670000000075,-113.64257999999995
"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",60.108670000000075,-113.64257999999995
